City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp Celsius
0,ilulissat,69.2167,-51.1,93,75,2.06,GL,1687599345,2.160000000000025
1,alexandria,31.2156,29.9553,50,0,4.2,EG,1687599105,28.730000000000018
2,kavieng,-2.5744,150.7967,77,41,1.78,PG,1687599346,27.350000000000023
3,new norfolk,-42.7826,147.0587,80,100,0.88,AU,1687599348,8.430000000000007
4,moerai,-22.4333,-151.3333,85,100,5.5,PF,1687599349,24.860000000000014
5,vaini,-21.2,-175.2,83,40,1.54,TO,1687599349,22.24000000000001
6,kodiak,57.79,-152.4072,87,100,2.57,US,1687599350,10.879999999999995
7,rikitea,-23.1203,-134.9692,65,100,8.28,PF,1687599351,21.579999999999984
8,dikson,73.5069,80.5464,88,11,4.53,RU,1687599351,0.8600000000000136
9,pevek,69.7008,170.3133,98,63,2.92,RU,1687599353,0.5500000000000114
10,tasiilaq,65.6145,-37.6368,99,100,3.38,GL,1687599353,7.240000000000009
11,punta arenas,-53.15,-70.9167,93,100,7.2,CL,1687599173,2.2099999999999795
12,hoquiam,46.9809,-123.8893,87,84,2.16,US,1687599354,13.45999999999998
13,cape town,-33.9258,18.4232,82,40,1.79,ZA,1687599098,16.879999999999995
14,takoradi,4.8845,-1.7554,88,100,5.12,GH,1687599356,24.879999999999995
15,sola,-13.8833,167.55,100,75,2.06,VU,1687599356,23.519999999999982
16,iqaluit,63.7506,-68.5145,86,75,1.03,CA,1687599358,3.0
17,camacha,33.0833,-16.3333,64,40,7.72,PT,1687599358,20.829999999999984
18,busselton,-33.65,115.3333,73,92,4.76,AU,1687599359,12.569999999999993
19,nanortalik,60.1432,-45.2371,87,53,4.13,GL,1687599360,3.420000000000016
20,atuona,-9.8,-139.0333,62,46,9.39,PF,1687599361,26.860000000000014
21,kahului,20.8947,-156.47,84,0,6.17,US,1687599362,25.060000000000002
22,jamestown,42.097,-79.2353,79,100,0.45,US,1687599361,18.49000000000001
23,hobart,-42.8794,147.3294,90,0,1.03,AU,1687599364,8.629999999999995
24,kaitangata,-46.2817,169.8464,95,51,2.29,NZ,1687599364,9.170000000000016
25,yellowknife,62.456,-114.3525,67,100,8.75,CA,1687599331,14.439999999999998
26,ushuaia,-54.8,-68.3,74,0,1.54,AR,1687599353,-2.0400000000000205
27,marystown,47.1666,-55.1483,97,55,4.14,CA,1687599366,12.54000000000002
28,guanagazapa,14.2253,-90.6433,93,100,2.23,GT,1687599367,24.629999999999995
29,upernavik,72.7868,-56.1549,87,40,1.61,GL,1687599368,1.0299999999999727
30,esperance,-33.8667,121.9,90,100,6.14,AU,1687599369,9.889999999999986
31,mataura,-46.1927,168.8643,95,36,1.07,NZ,1687599369,5.990000000000009
32,perth,-31.9333,115.8333,80,20,6.69,AU,1687599124,15.029999999999973
33,qaanaaq,77.484,-69.3632,94,99,1.05,GL,1687599372,-0.13999999999998636
34,ribeira grande,38.5167,-28.7,83,20,5.66,PT,1687599372,21.689999999999998
35,hilo,19.7297,-155.09,96,100,2.24,US,1687599373,24.189999999999998
36,pacific grove,36.6177,-121.9166,87,100,2.57,US,1687599374,13.970000000000027
37,jiazi,22.8779,116.067,83,97,3.99,CN,1687599375,28.089999999999975
38,okhotsk,59.3833,143.3,78,26,3.65,RU,1687599376,13.230000000000018
39,nikolskoye,59.7035,30.7861,43,10,4.32,RU,1687599379,25.100000000000023
40,itarema,-2.9248,-39.9167,82,54,5.44,BR,1687599379,24.74000000000001
41,tessalit,20.1986,1.0114,8,9,5.0,ML,1687599381,40.19999999999999
42,georgetown,5.4112,100.3354,70,20,3.6,MY,1687599383,33.110000000000014
43,barrow,71.2906,-156.7887,86,100,11.32,US,1687599383,1.160000000000025
44,teluk intan,4.0259,101.0213,77,100,2.24,MY,1687599384,32.160000000000025
45,puerto madryn,-42.7692,-65.0385,80,29,4.13,AR,1687599120,8.79000000000002
46,udachnyy,66.4167,112.4,30,69,5.06,RU,1687599386,21.50999999999999
47,chokurdakh,70.6333,147.9167,36,97,1.15,RU,1687599387,22.220000000000027
48,corinto,37.9407,22.9573,29,0,1.81,GR,1687599388,32.31
49,naze,28.3667,129.4833,87,82,2.9,JP,1687599389,25.660000000000025
50,arraial do cabo,-22.9661,-42.0278,94,0,2.06,BR,1687599390,18.069999999999993
51,albany,42.6001,-73.9662,90,100,1.49,US,1687599001,21.19999999999999
